ticker,expiration,option_type,band_id,band_label,band_low_strike,band_high_strike,band_size,band_oi_change_sum,band_volume_sum,band_premium_notional,band_score,band_continuity_days
NVDA,2026-04-02,P,NVDA|2026-04-02|P|160.0|190.0,160P / 165P / 170P / 175P / 180P / 185P / 190P,160.0,190.0,7,0.0,16874.0,9442853.0,89.91,1
NVDA,2026-04-02,C,NVDA|2026-04-02|C|180.0|200.0,180C / 185C / 190C / 195C / 200C,180.0,200.0,5,0.0,36318.0,5356278.0,86.53,1
NVDA,2026-04-17,P,NVDA|2026-04-17|P|130.0|200.0,130P / 135P / 140P / 145P / 150P / 155P / 160P / 165P / 170P / 175P / 180P / 185P / 190P / 195P / 200P,130.0,200.0,15,0.0,66807.0,24307075.0,86.3,1
NVDA,2026-04-17,C,NVDA|2026-04-17|C|150.0|220.0,150C / 155C / 160C / 165C / 170C / 175C / 180C / 185C / 190C / 195C / 200C / 205C / 210C / 215C / 220C,150.0,220.0,15,0.0,72482.0,30629900.0,82.38,1
NVDA,2026-04-10,C,NVDA|2026-04-10|C|180.0|210.0,180C / 185C / 190C / 195C / 200C / 205C / 210C,180.0,210.0,7,0.0,22906.0,4659496.0,77.07,1
NVDA,2026-04-24,C,NVDA|2026-04-24|C|180.0|205.0,180C / 185C / 190C / 195C / 200C / 205C,180.0,205.0,6,0.0,11910.0,4198508.0,72.63,1
NVDA,2026-04-10,P,NVDA|2026-04-10|P|150.0|185.0,150P / 155P / 160P / 165P / 170P / 175P / 180P / 185P,150.0,185.0,8,0.0,7421.0,2475470.0,70.4,1
NVDA,2026-04-24,P,NVDA|2026-04-24|P|165.0|195.0,165P / 175P / 185P / 190P / 195P,165.0,195.0,5,0.0,3518.0,2548282.0,68.32,1
NVDA,2026-05-01,C,NVDA|2026-05-01|C|185.0|190.0,185C / 190C,185.0,190.0,2,0.0,1446.0,773065.0,58.47,1
TSLA,2026-04-10,P,TSLA|2026-04-10|P|380.0|395.0,380P / 385P / 395P,380.0,395.0,3,0.0,2788.0,4797610.0,80.69,1
TSLA,2026-04-17,P,TSLA|2026-04-17|P|320.0|420.0,320P / 325P / 330P / 335P / 340P / 345P / 350P / 355P / 360P / 365P / 370P / 375P / 380P / 385P / 390P / 395P / 400P / 405P / 410P / 415P / 420P,320.0,420.0,21,0.0,29772.0,44347262.0,79.57,1
TSLA,2026-04-17,C,TSLA|2026-04-17|C|390.0|460.0,390C / 395C / 400C / 405C / 410C / 415C / 420C / 425C / 430C / 435C / 440C / 445C / 450C / 455C / 460C,390.0,460.0,15,0.0,38304.0,20271408.0,73.91,1
TSLA,2026-04-02,P,TSLA|2026-04-02|P|350.0|370.0,350P / 355P / 360P / 365P / 370P,350.0,370.0,5,0.0,3079.0,1748988.0,73.6,1
TSLA,2026-04-10,C,TSLA|2026-04-10|C|400.0|410.0,400C / 410C,400.0,410.0,2,0.0,2884.0,1899955.0,64.1,1
TSLA,2026-04-02,C,TSLA|2026-04-02|C|400.0|420.0,400C / 405C / 410C / 415C / 420C,400.0,420.0,5,0.0,4056.0,1310952.0,58.13,1
TSLA,2026-04-17,P,TSLA|2026-04-17|P|295.0|300.0,295P / 300P,295.0,300.0,2,0.0,2135.0,350611.0,51.9,1
TSLA,2026-04-17,C,TSLA|2026-04-17|C|470.0|475.0,470C / 475C,470.0,475.0,2,0.0,1900.0,80186.0,42.28,1
