,标的,名称,方向判断,综合方向分,置信度,期权事件数,Call事件数,Put事件数,Call成交额M,Put成交额M,C/P成交额比,C/P成交量比,看涨强度,看跌强度,个股成交额M,个股额比20日,个股当日涨跌%,个股大额资金信号,结论说明,数据源
1,TSM.US,台积电,强多,70.58,80.0,6,6,0,1673.15,0.0,1673147730.0,129772.0,581.52,0.0,3934.28,0.87,1.98,常规,Call成交额明显高于Put；Call成交量占优；个股成交额接近20日常态；期权端异动密集,longbridge
2,MU.US,美光科技,强多,58.39,79.3,6,5,1,84.12,8.4,10.02,8.88,488.74,95.5,19604.6,1.49,4.5,放量活跃,Call成交额明显高于Put；Call成交量占优；个股成交额温和放大；期权端异动密集,longbridge
3,NVDA.US,英伟达,偏空,-9.11,36.1,6,3,3,41.36,88.6,0.47,2.21,286.49,278.22,33344.73,0.93,-0.7,常规,Put成交额明显高于Call；Call成交量占优；个股成交额接近20日常态；期权端异动密集,longbridge
4,AMD.US,AMD,偏空,-20.5,44.6,6,3,3,14.62,62.11,0.24,1.92,282.09,281.92,4484.41,0.62,-0.14,常规,Put成交额明显高于Call；Call成交量占优；个股成交额接近20日常态；期权端异动密集,longbridge
5,AVGO.US,博通,强空,-35.07,60.3,6,2,4,5.82,50.65,0.11,1.74,187.65,372.54,12219.56,1.37,-1.11,放量活跃,Put成交额明显高于Call；Call成交量占优；个股成交额温和放大；期权端异动密集,longbridge
6,TSLA.US,特斯拉,强空,-36.41,56.4,6,2,4,81.82,542.01,0.15,0.75,177.7,355.55,18648.99,0.79,0.94,常规,Put成交额明显高于Call；Call/Put成交量接近；个股成交额接近20日常态；期权端异动密集,longbridge
7,SPY.US,SPY,强空,-53.69,68.9,6,1,5,10.03,83.9,0.12,0.1,96.49,491.36,58488.17,1.01,0.26,常规,Put成交额明显高于Call；Put成交量占优；个股成交额接近20日常态；期权端异动密集,longbridge
8,AAPL.US,苹果,强空,-55.43,70.0,6,1,5,3.6,99.75,0.04,0.29,80.73,440.17,8224.96,0.78,0.56,常规,Put成交额明显高于Call；Put成交量占优；个股成交额接近20日常态；期权端异动密集,longbridge
9,QQQ.US,QQQ,强空,-61.34,74.2,6,1,5,6.29,287.92,0.02,0.09,96.89,495.75,28434.91,0.66,0.49,常规,Put成交额明显高于Call；Put成交量占优；个股成交额接近20日常态；期权端异动密集,longbridge
10,QCOM.US,高通,强空,-69.38,80.9,6,0,6,0.0,99.87,0.0,0.0,0.0,557.55,1391.51,1.05,1.7,常规,Put成交额明显高于Call；Put成交量占优；个股成交额接近20日常态；期权端异动密集,longbridge
11,MSFT.US,微软,强空,-69.98,80.0,6,0,6,0.0,607.17,0.0,0.0,0.0,582.05,10481.74,0.78,-0.14,常规,Put成交额明显高于Call；Put成交量占优；个股成交额接近20日常态；期权端异动密集,longbridge
12,ORCL.US,甲骨文,强空,-70.58,80.0,6,0,6,0.0,619.1,0.0,0.0,0.0,562.16,3721.19,0.83,-0.82,常规,Put成交额明显高于Call；Put成交量占优；个股成交额接近20日常态；期权端异动密集,longbridge
13,META.US,Meta,强空,-70.58,80.0,6,0,6,0.0,461.24,0.0,0.0,0.0,584.66,6485.55,0.82,-0.76,常规,Put成交额明显高于Call；Put成交量占优；个股成交额接近20日常态；期权端异动密集,longbridge
